time (s),Current (A), Voltage (V), Power (W), Battery Temp (C), Ambient Temp (C),Voltage R (Ohm),Power R (Ohm),Avg. Volt R (Ohm),Avg. Power R (Ohm)
0,0.014832,3.5543,0.052756,30.44545,30.926605,0,0,1.03172945115121,0.340885043688027
0.917047,-5.981,3.3031,-19.754,30.446645,30.919733,0.552265507440227,0.552214040331305,,
1.917798,-6.0386,3.2483,-19.615,30.449411,30.923231,0.537922697313947,0.537917640915546,,
2.919166,-6.0685,3.2265,-19.579,30.43405,30.927676,0.531679986817171,0.531652418498161,,
3.922493,-6.069,3.214,-19.505,30.442437,30.932393,0.529576536496952,0.529555739793712,,
4.954185,-6.0675,3.2039,-19.439,30.43757,30.907361,0.528042851256696,0.528024835285092,,
5.923003,-5.8894,3.1998,-18.844,30.444044,30.909434,0.543315108500017,0.543289099586701,,
6.916181,-6.0628,3.1894,-19.336,30.439498,30.919556,0.526060566075081,0.526041676891325,,
7.920614,-5.9118,3.1866,-18.838,30.449081,30.928034,0.539023647620014,0.539008142909722,,
8.916255,-6.0517,3.1785,-19.234,30.447168,30.915123,0.525224317134028,0.525188043553054,,
9.914795,-6.0409,3.1738,-19.172,30.439445,30.934535,0.525385290271317,0.52536861779195,,
10.915516,-6.0695,3.17,-19.239,30.450391,30.922377,0.522283548892001,0.522247852861723,,
0,0.004541,3.2686,0.014878,30.440948,30.914039,0,0,,
0.961061,0.004123,3.2903,0.013593,30.437507,30.926366,0,0,,
2.963411,-0.00024,3.2985,-0.000733,30.439823,30.919881,0,0,,
3.962338,0.056427,3.3025,0.18405,30.449896,30.929949,0,0,,
4.962484,0.001256,3.305,0.004237,30.447983,30.932438,0,0,,
6.967482,-0.00227,3.31,-0.007434,30.458814,30.930798,0,0,,
8.967122,0.005426,3.3123,0.017954,30.450081,30.930868,0,0,,
10.965921,0.003017,3.3159,0.010015,30.450171,30.919592,0,0,,
11.962451,0.054148,3.3179,0.18144,30.463331,30.92138,0,0,,
12.962407,0.002405,3.3183,0.008006,30.45724,30.925924,0,0,,
14.974125,-0.003051,3.3207,-0.010088,30.450727,30.923081,0,0,,
15.960929,0.004497,3.3211,0.014962,30.469533,30.908513,0,0,,
18.965956,0.047962,3.3221,0.15875,30.475056,30.9364,0,0,,
19.964586,-0.000687,3.3227,-0.00223,30.48043,30.915372,0,0,,
20.963305,0.005146,3.3233,0.017179,30.474433,30.936877,0,0,,
21.961885,0.050483,3.3239,0.16879,30.471627,30.939572,0,0,,
22.962714,0.053016,3.3245,0.174,30.483599,30.92404,0,0,,
23.962883,0.001993,3.324,0.006646,30.479445,30.922087,0,0,,
27.967649,-0.002369,3.3257,-0.007873,30.477409,30.916385,0,0,,
28.964493,0.049861,3.3261,0.16344,30.47388,30.917992,0,0,,
29.972239,0.0434,3.3269,0.14413,30.497722,30.942191,0,0,,
30.962306,0.000452,3.3273,0.001542,30.479007,30.926783,0,0,,
31.962491,0.000992,3.3274,0.003341,30.486665,30.938471,0,0,,
33.961527,-0.00018,3.3284,-0.000556,30.494413,30.913583,0,0,,
34.961126,-0.000595,3.3271,-0.001976,30.495974,30.914411,0,0,,
35.963074,0.009321,3.3285,0.03105,30.491181,30.91842,0,0,,
36.961622,0.008243,3.3288,0.027509,30.489541,30.921547,0,0,,
37.96455,0.056919,3.3285,0.18964,30.503677,30.903411,0,0,,
39.963042,-0.003406,3.3304,-0.011307,30.486091,30.932765,0,0,,
40.960798,0.00717,3.3307,0.023935,30.501909,30.925844,0,0,,
41.965201,-0.001999,3.33,-0.00661,30.502053,30.917921,0,0,,
43.964691,-0.000675,3.3303,-0.002204,30.496427,30.929164,0,0,,
44.963851,0.000423,3.3294,0.00145,30.492273,30.925011,0,0,,
46.964462,0.051957,3.3304,0.17471,30.494709,30.908013,0,0,,
49.960836,-0.000651,3.3308,-0.002135,30.501109,30.936044,0,0,,
52.961895,0.001382,3.3312,0.004624,30.503647,30.926115,0,0,,
53.963306,0.0000336,3.3311,0.0001,30.500544,30.931079,0,0,,
54.964578,0.004086,3.3311,0.013621,30.511329,30.928294,0,0,,
56.96101,0.002908,3.3313,0.009674,30.499757,30.913793,0,0,,
57.962208,0.002509,3.3321,0.008389,30.50286,30.931195,0,0,,
58.96155,0.003517,3.3315,0.011722,30.501809,30.919877,0,0,,
59.964114,0.048179,3.3316,0.16057,30.526994,30.932587,0,0,,
60.964942,0.003866,3.3314,0.012918,30.503763,30.911197,0,0,,
61.965943,-0.00085,3.3324,-0.002784,30.493245,30.915716,0,0,,
63.96231,0.000156,3.332,0.000562,30.520165,30.917327,0,0,,
64.963953,0.005044,3.3317,0.016866,30.51674,30.906204,0,0,,
65.961419,-0.000821,3.3332,-0.002672,30.509775,30.925641,0,0,,
66.961868,0.006374,3.3318,0.021281,30.512825,30.911823,0,0,,
67.962313,0.003486,3.333,0.011718,30.508011,30.927178,0,0,,
68.96204,0.003057,3.3322,0.010237,30.519349,30.929344,0,0,,
69.963107,-0.000258,3.3326,-0.000803,30.51512,30.921084,0,0,,
70.96279,0.002404,3.3328,0.00802,30.487022,30.933695,0,0,,
71.961679,0.001947,3.3318,0.006511,30.521401,30.935429,0,0,,
72.964874,0.005364,3.3325,0.017898,30.515186,30.93105,0,0,,
73.964129,0.00194,3.3322,0.006464,30.524187,30.931614,0,0,,
74.961183,0.001838,3.3324,0.006128,30.496088,30.926259,0,0,,
75.961934,0.001677,3.3324,0.005597,30.513665,30.91303,0,0,,
77.965413,-0.00106,3.3322,-0.003505,30.514692,30.932022,0,0,,
78.964361,0.001269,3.3328,0.00423,30.52063,30.932092,0,0,,
79.962944,0.004625,3.3345,0.015455,30.518355,30.918818,0,0,,
80.960326,-0.000626,3.3325,-0.002073,30.519089,30.936784,0,0,,
81.960846,0.001898,3.3325,0.006339,30.526544,30.914537,0,0,,
84.969688,0.002288,3.3328,0.007635,30.506997,30.921763,0,0,,
85.969689,0.002557,3.333,0.00853,30.513286,30.920717,0,0,,
87.961775,0.008831,3.3336,0.029482,30.517877,30.919807,0,0,,
88.962883,-0.002966,3.3338,-0.009847,30.505472,30.915839,0,0,,
89.963706,0.005993,3.333,0.019999,30.506622,30.922122,0,0,,
90.960258,0.004499,3.3327,0.015064,30.511361,30.928326,0,0,,
91.963418,0.00034,3.3336,0.001187,30.512412,30.91471,0,0,,
92.962703,-0.00166,3.3329,-0.005494,30.518404,30.926567,0,0,,
93.961473,-0.000617,3.3343,-0.002048,30.515635,30.926732,0,0,,
94.960568,-0.002224,3.3329,-0.007369,30.519966,30.923728,0,0,,
95.967832,0.002568,3.3347,0.008619,30.510524,30.92089,0,0,,
96.96583,-0.000993,3.3327,-0.003228,30.524166,30.93086,0,0,,
97.968519,0.0083,3.3338,0.027725,30.523601,30.917095,0,0,,
98.970263,-0.001257,3.3339,-0.004126,30.523745,30.934106,0,0,,
99.964091,0.002616,3.3342,0.008708,30.513232,30.932396,0,0,,
101.962983,-0.003551,3.333,-0.011812,30.524005,30.936565,0,0,,
102.961622,0.004717,3.3339,0.015754,30.509576,30.919209,0,0,,
103.964958,0.002167,3.3338,0.007241,30.528917,30.924976,0,0,,
104.962952,0.000633,3.3344,0.002135,30.519937,30.916733,0,0,,
105.963891,0.002006,3.3333,0.006712,30.527277,30.920403,0,0,,
