"time","meter.v","meter.power","singleCell.temp.T"
0,2.893724869214872,7.481725649355051,20.774156
1,2.887558379092811,7.529262542618349,20.77544960469135
2,2.89287965072572,7.473810448626614,20.77674111343129
3,2.888975848061548,7.501106065631812,20.7780187642922
4,2.883431827812684,7.542801610749599,20.77931794854919
5,2.88592930999723,7.512539409756214,20.78062316205421
6,2.882462863942913,7.535448859204034,20.78192098777737
7,2.884317879057657,7.510720075859073,20.78322562445788
8,2.890599356360196,7.446191298562296,20.78450905779664
9,2.887641090935428,7.464397785599048,20.78577788927055
10,2.882049688461058,7.50586141900436,20.78706497777176
11,2.882552400454771,7.492627829444126,20.78836171730006
12,2.880661908985958,7.500586105232069,20.78965403787691
13,2.882007773246864,7.479456183749403,20.79094757499576
14,2.877688204905555,7.508654637522157,20.79223945966828
15,2.873395749833427,7.53719979019466,20.79354881975019
16,2.880721559165923,7.462163548005206,20.7948525103771
17,2.879248577263659,7.465342914740893,20.79613177728453
18,2.878830179109832,7.459010835141018,20.79741776075332
19,2.874249054312826,7.489703971183579,20.79870662324583
20,2.873365211742432,7.487359570416244,20.80000742326621
21,2.874224471521025,7.469487742343069,20.80130200934218
22,2.872471221102256,7.47480315713867,20.80259407509095
23,2.86893872046508,7.495798716372954,20.80389353859761
24,2.871162778927001,7.465637333673278,20.80519474597276
25,2.871118362879436,7.455581611590176,20.80648416387675
26,2.871096045805392,7.44526560144794,20.8077718255966
27,2.872004388363198,7.426615937675327,20.80905404555659
28,2.86937082406083,7.439402800473662,20.81033419183836
29,2.867251552753439,7.447478032717639,20.81162221286655
30,2.866198367021755,7.445989740663998,20.81291255938692
31,2.860322712055417,7.487023464428641,20.81421079776612
32,2.859355686067862,7.484521523061075,20.81552296708048
33,2.863275645925202,7.43888622782133,20.81682420587043
34,2.858225738723243,7.472549132674653,20.81811865295947
35,2.859270035034222,7.452330948836931,20.81942460538806
36,2.861880370582746,7.418299452354397,20.82071590645427
37,2.854718865501064,7.470578147334852,20.82200924700436
38,2.856604828982908,7.44296011683181,20.82331740311616
39,2.858111365566535,7.418721618480911,20.82460910948828
40,2.853909272118808,7.444853746601114,20.82590220844082
41,2.857349045030503,7.403559487716045,20.82719757988809
42,2.860349722140651,7.366126192948435,20.82847208782459
43,2.857930401914585,7.376709042404544,20.82974110149797
44,2.855502432649259,7.387306632553785,20.8310179522615
45,2.847990184767967,7.44255414193893,20.83230860689775
46,2.852546800944928,7.391515092822051,20.83360884338884
47,2.843666756870729,7.458623856193256,20.83490145924293
48,2.851928513474135,7.375071210089149,20.83620700005059
49,2.852402808791171,7.360059048185163,20.83747704339277
50,2.850265997203961,7.368065311026144,20.83875251953623
51,2.847438158768354,7.382108889745718,20.84003355258943
52,2.84576740308589,7.385923566260461,20.84132024489281
53,2.839238027086897,7.43224076468548,20.84261723688525
54,2.837652661055078,7.435131860712197,20.8439309645164
55,2.837499733717432,7.425525661619421,20.8452418063053
56,2.840405249098914,7.389200428881419,20.84654422949791
57,2.835499333877717,7.421195907836966,20.84784337009467
58,2.83702878561221,7.396915537589946,20.84915120733143
59,2.838387156256589,7.374159436178911,20.85044542377341
60,2.8360391684405,7.383835134097366,20.85173813574107
61,2.841028009704396,7.329155024433123,20.85302517893024
62,2.837668900786201,7.347483074853179,20.85429817816794
63,2.835127633584091,7.358347646260519,20.85558454925757
64,2.833494868546309,7.361083077108287,20.85687374061479
65,2.824254049915029,7.42979779531706,20.85817783980207
66,2.829518426972741,7.372245454581656,20.85949398936077
67,2.829450523521003,7.36109575468856,20.86078649547687
68,2.830219020158318,7.342669775348545,20.8620775400081
69,2.824466355703562,7.38107867321435,20.86337116701515
70,2.823736056904075,7.375796224790271,20.86467865927318
71,2.818632204595368,7.408530612419185,20.86598919926735
72,2.820381824561637,7.38205366071645,20.86730732314311
73,2.81756167301697,7.395378395089645,20.86861922798943
74,2.822709934403126,7.3399426018018,20.86992780809516
75,2.828670040101299,7.277547710167985,20.87120641202085
76,2.823253496768079,7.314420189636473,20.87247683559428
77,2.812838841160866,7.394169435777832,20.87377838982923
78,2.816473769376904,7.352245845014553,20.87509671822744
79,2.818348624101879,7.325560968969218,20.87639198207853
