"time","meter.v","meter.power","singleCell.temp.T"
0,3.316169699695206,8.573956758561955,20.774156
1,3.316148309413396,8.646803968575602,20.77557552277511
2,3.316172867524177,8.567396649403214,20.77699271903452
3,3.316160518437804,8.610273359035919,20.77839476580249
4,3.316141660879903,8.674732109110819,20.77982037587208
5,3.316155007263332,8.632486282538258,20.78125253547853
6,3.316144523606306,8.669196672037245,20.78267660461802
7,3.316155374777096,8.635218374801202,20.78410807111487
8,3.316183948571875,8.542498291212821,20.78551629738661
9,3.316175592730332,8.572136554205661,20.7869085933836
10,3.316156783196201,8.636427525180155,20.78832090932639
11,3.31616242284514,8.619711770875824,20.78974379489284
12,3.3161585478656,8.634519951570104,20.79116171005347
13,3.316167689261359,8.606198484278439,20.79258096594458
14,3.316154240609821,8.652729255048293,20.79399840623552
15,3.316141005832273,8.698564162233437,20.79543499581604
16,3.316174320323161,8.59015167682894,20.79686534463775
17,3.316172481419351,8.598203341564309,20.79826898061697
18,3.316174896194173,8.592165200096467,20.79967988658302
19,3.316160680613873,8.641235101533191,20.80109393678237
20,3.316161290435657,8.641189039777721,20.80252111918071
21,3.316168881445273,8.618005676636241,20.80394151015076
22,3.31616603823803,8.629394853503829,20.8053590768464
23,3.316156111061756,8.664262691731341,20.80678469618886
24,3.316169235424224,8.622749302292801,20.80821220359127
25,3.316173290427519,8.611278770187054,20.80962672369225
26,3.316177455755041,8.599441309426567,20.81103928615869
27,3.316185360727524,8.575208015716351,20.81244591184839
28,3.31617912177492,8.597840348320771,20.81385022058311
29,3.316174981608097,8.613524092246914,20.81526313252328
30,3.316175139508443,8.614967599985885,20.81667845880492
31,3.316156052027702,8.680187752450157,20.81810244025087
32,3.316156639817631,8.680223263405466,20.81954166949151
33,3.316176757067717,8.615538515224275,20.82096899998567
34,3.316160983318044,8.669775638775112,20.82238886469077
35,3.316169605904239,8.643182729460786,20.82382132515528
36,3.316184467785769,8.595904173406137,20.82523770618957
37,3.316160245753734,8.678134496666143,20.82665639007172
