time (s),Current (A), Voltage (V), Power (W), Battery Temp (C), Ambient Temp (C),Voltage R (Ohm),Power R (Ohm),Avg. Volt R (Ohm),Avg. Power R (Ohm)
0,0.040636,3.2,0.13007,30.948401,31.004864,0,0,0.954206538949695,0.345595398540506
0.892436,-5.9976,3.0604,-18.354,30.951586,31.008416,0.510270774976657,0.510241444850583,,
1.893445,-5.9066,3.0481,-18.003,30.953066,30.999997,0.516049842549013,0.516023831829331,,
2.892632,-6.0896,3.0353,-18.483,30.955683,31.00518,0.498439963215975,0.498419391112686,,
3.891098,-6.0535,3.0266,-18.321,30.957833,30.993031,0.49997522094656,0.499960946094156,,
4.931808,-5.995,3.0228,-18.12,30.947376,30.992107,0.504220183486239,0.504173271999672,,
5.890988,-6.0961,3.017,-18.391,30.96064,31.015636,0.494906579616476,0.494881454782898,,
6.892761,-6.0239,3.0153,-18.162,30.951196,31.012425,0.500556118129451,0.500504704374809,,
7.893806,-5.9061,3.0135,-17.797,30.950348,30.998745,0.510235180576015,0.510205585097239,,
8.890843,-6.1832,3.0069,-18.591,30.95849,31.004687,0.486301591408979,0.486268527973938,,
9.89227,-5.953,3.0075,-17.903,30.944191,31.005054,0.505207458424324,0.505189187184939,,
10.89158,-6.0472,3.0028,-18.158,30.940639,30.997836,0.496560391586189,0.496545839221732,,
0,0.017876,3.1128,0.055578,30.962283,31.004813,0,0,,
0.980221,-0.003247,3.1354,-0.010137,30.950866,31.00073,0,0,,
1.980203,-0.00222,3.1428,-0.006909,30.972512,30.995977,0,0,,
2.97899,-0.002818,3.1478,-0.008817,30.950309,31.005306,0,0,,
3.986218,0.005044,3.1505,0.015917,30.966671,31.000402,0,0,,
4.982538,0.049068,3.1534,0.15366,30.972272,30.995737,0,0,,
5.979979,0.001489,3.1547,0.004713,30.95648,31.002678,0,0,,
6.978892,-0.003293,3.1569,-0.010362,30.967556,31.003487,0,0,,
7.980289,0.000269,3.1589,0.000864,30.96863,30.998328,0,0,,
8.98033,-0.00181,3.1608,-0.005721,30.979011,30.998443,0,0,,
9.981997,-0.003918,3.161,-0.012327,30.960894,30.998292,0,0,,
10.98023,-0.000278,3.1622,-0.000819,30.97188,30.998645,0,0,,
11.981603,-0.002392,3.1637,-0.007557,30.979378,30.997343,0,0,,
12.983187,-0.00084,3.1652,-0.002645,30.971121,30.98762,0,0,,
13.981166,0.002451,3.1649,0.00776,30.996193,30.997659,0,0,,
14.978683,0.000409,3.1659,0.001317,30.981401,31.002299,0,0,,
15.978534,-0.001281,3.167,-0.004047,30.983715,31.000581,0,0,,
16.981063,0.004,3.1693,0.012679,30.987418,30.989618,0,0,,
17.978505,0.004847,3.1678,0.015332,30.985801,30.9946,0,0,,
18.97878,0.003184,3.1683,0.010075,30.975168,30.982134,0,0,,
19.980367,0.000327,3.1691,0.001058,30.998454,31.00762,0,0,,
20.980556,0.002945,3.1708,0.009356,30.990654,31.001287,0,0,,
21.980502,0.003053,3.1703,0.009695,30.983979,30.990212,0,0,,
22.979504,0.003588,3.1716,0.011397,30.99757,30.988037,0,0,,
23.979995,-0.002432,3.1721,-0.007681,30.993942,31.004941,0,0,,
24.980293,-0.003014,3.1719,-0.009522,30.978454,30.992387,0,0,,
25.98079,-0.001478,3.173,-0.004637,31.000125,30.997925,0,0,,
