time (s),Current (A), Voltage (V), Power (W), Battery Temp (C), Ambient Temp (C),Voltage R (Ohm),Power R (Ohm),Avg. Volt R (Ohm),Avg. Power R (Ohm)
0,0.07028,3.1972,0.22477,40.330119,40.590271,0,0,0.962606091703785,0.346303567635939
0.892974,-6.0134,3.0899,-18.579,40.344738,40.57178,0.513835766787508,0.513785860506706,,
1.897454,-5.9771,3.0818,-18.419,40.330508,40.567012,0.515601211289756,0.51556687244792,,
2.897658,-6.0018,3.0738,-18.448,40.343885,40.57784,0.512146356093172,0.512137116082455,,
3.894716,-5.9078,3.0701,-18.136,40.322113,40.574263,0.519668912285453,0.519624881125064,,
4.932227,-6.0022,3.063,-18.384,40.340307,40.565532,0.510312885275399,0.510292383646017,,
5.895974,-6.0633,3.0586,-18.544,40.333394,40.563713,0.504444774297825,0.504411878178474,,
6.894118,-6.0102,3.0564,-18.369,40.336757,40.557253,0.508535489667565,0.508519563861332,,
7.895126,-5.9974,3.0523,-18.305,40.337046,40.594287,0.508937206122653,0.508913184753088,,
8.892385,-5.9956,3.05,-18.286,40.333344,40.574577,0.5087063846821,0.508690249915342,,
9.894614,-5.9756,3.0478,-18.212,40.321449,40.57651,0.510040832719727,0.510028687472572,,
10.892962,-6.031,3.0445,-18.361,40.336707,40.568845,0.504808489471066,0.504798055896522,,
0,0.002201,3.1308,0.006963,40.331235,40.574288,0,0,,
0.979171,0.00209,3.1474,0.006609,40.336355,40.575769,0,0,,
1.977905,0.002685,3.1518,0.008454,40.329266,40.586508,0,0,,
3.014949,0.000984,3.1557,0.003138,40.339505,40.555634,0,0,,
3.978901,0.0000365,3.158,0.000132,40.339816,40.564677,0,0,,
4.979113,0.006713,3.1603,0.021226,40.345477,40.566698,0,0,,
5.979286,-0.002246,3.1612,-0.007076,40.329768,40.567364,0,0,,
6.980136,0.001879,3.1629,0.005975,40.335914,40.58224,0,0,,
7.978516,-0.002578,3.1646,-0.008116,40.34806,40.585289,0,0,,
8.979268,-0.003644,3.1647,-0.011483,40.34293,40.586344,0,0,,
9.980254,-0.00098,3.1663,-0.003031,40.335224,40.578277,0,0,,
10.979578,0.003514,3.1688,0.011173,40.351385,40.580974,0,0,,
11.983033,0.00037,3.1671,0.001239,40.346141,40.575002,0,0,,
12.98188,-0.0000204,3.1706,-0.0000509,40.348399,40.568165,0,0,,
13.981396,-0.000784,3.1688,-0.002432,40.370432,40.586192,0,0,,
15.980137,0.004347,3.1708,0.013793,40.369441,40.586292,0,0,,
16.978573,0.007038,3.1706,0.022381,40.364924,40.575955,0,0,,
18.016533,0.000455,3.1721,0.001448,40.355877,40.570184,0,0,,
18.978147,0.002796,3.1727,0.008898,40.350305,40.57953,0,0,,
19.980314,0.009851,3.1723,0.031335,40.35718,40.562755,0,0,,
20.980125,0.04794,3.1713,0.15011,40.366404,40.569431,0,0,,
21.980978,0.000333,3.1732,0.001056,40.355625,40.572842,0,0,,
22.986027,0.003299,3.174,0.01052,40.360858,40.571526,0,0,,
23.983513,0.005937,3.1759,0.018863,40.351572,40.600806,0,0,,
25.979606,0.000669,3.1749,0.002126,40.360946,40.584712,0,0,,
26.979102,-0.000578,3.1746,-0.00182,40.366593,40.599817,0,0,,
27.980987,-0.000321,3.1751,-0.001001,40.388137,40.594798,0,0,,
28.978483,0.007413,3.1752,0.023552,40.365702,40.575641,0,0,,
29.983111,0.000324,3.1747,0.00103,40.374899,40.578288,0,0,,
30.979671,0.002142,3.1755,0.006808,40.378412,40.56834,0,0,,
31.977198,0.004388,3.1757,0.013952,40.376454,40.569657,0,0,,
33.01135,0.00173,3.1758,0.005522,40.376079,40.569281,0,0,,
33.978233,0.00245,3.1768,0.007791,40.35333,40.577824,0,0,,
34.977207,0.005501,3.1765,0.017471,40.379765,40.57224,0,0,,
35.97718,-0.000551,3.1765,-0.001742,40.37116,40.568001,0,0,,
36.977736,0.001593,3.1778,0.005057,40.370157,40.583734,0,0,,
37.978546,0.002044,3.1767,0.006534,40.383632,40.574286,0,0,,
38.978256,0.002419,3.1775,0.007716,40.373946,40.567876,0,0,,
39.981314,0.002012,3.1774,0.00641,40.389378,40.566935,0,0,,
40.982378,0.004036,3.1772,0.012884,40.383795,40.570084,0,0,,
41.979568,0.005873,3.1782,0.018697,40.384648,40.581487,0,0,,
42.978471,0.007096,3.1792,0.022579,40.379138,40.575614,0,0,,
43.979777,0.007058,3.1777,0.02246,40.380832,40.583493,0,0,,
45.981858,0.010517,3.1789,0.033478,40.399503,40.570145,0,0,,
46.979124,0.008807,3.1784,0.028018,40.39535,40.586731,0,0,,
48.000858,0.003061,3.1797,0.009753,40.382187,40.573206,0,0,,
48.979074,0.008109,3.1786,0.025818,40.382615,40.571087,0,0,,
49.983142,-0.000298,3.1786,-0.000921,40.389917,40.577297,0,0,,
50.983411,0.002345,3.1785,0.007441,40.388048,40.561966,0,0,,
51.985415,0.003627,3.1795,0.011534,40.384484,40.565316,0,0,,
52.979239,-0.002308,3.1796,-0.007274,40.393217,40.579505,0,0,,
53.978212,-0.002414,3.178,-0.007626,40.384007,40.568476,0,0,,
54.97781,0.001587,3.1793,0.005092,40.390481,40.567674,0,0,,
56.977461,-0.00347,3.1794,-0.010991,40.38141,40.569882,0,0,,
57.978924,-0.000199,3.1808,-0.000618,40.384171,40.574461,0,0,,
58.98026,0.004938,3.1798,0.015755,40.389842,40.578313,0,0,,
59.981115,-0.001742,3.1796,-0.005501,40.39067,40.567499,0,0,,
60.978866,0.001867,3.1801,0.005931,40.401084,40.589553,0,0,,
61.979658,0.003384,3.1805,0.010766,40.396253,40.585087,0,0,,
62.981058,0.001294,3.1805,0.00411,40.401134,40.563044,0,0,,
63.980234,-0.000324,3.1807,-0.001026,40.412477,40.565655,0,0,,
64.991544,-0.000569,3.1792,-0.001806,40.386868,40.579341,0,0,,
65.984752,0.001354,3.1807,0.004391,40.40407,40.574348,0,0,,
67.981505,0.003996,3.1819,0.012719,40.400067,40.572892,0,0,,
68.979942,0.002977,3.1802,0.009476,40.398475,40.560022,0,0,,
69.979002,0.005864,3.1811,0.018674,40.399464,40.573017,0,0,,
70.978371,0.004192,3.1807,0.01336,40.407344,40.575803,0,0,,
71.977505,0.002896,3.1809,0.009222,40.398462,40.571651,0,0,,
72.977277,0.000838,3.1807,0.00268,40.397734,40.562919,0,0,,
73.977969,0.004398,3.1809,0.013987,40.38944,40.584459,0,0,,
74.978374,0.003554,3.1808,0.011334,40.396453,40.580921,0,0,,
75.979286,0.004512,3.1805,0.014361,40.416766,40.590681,0,0,,
76.979411,0.001645,3.1799,0.005267,40.398812,40.584371,0,0,,
77.995129,-0.002133,3.1809,-0.006771,40.400256,40.575628,0,0,,
78.978132,0.000906,3.182,0.002924,40.407344,40.590355,0,0,,
79.977087,-0.001764,3.1817,-0.005579,40.415136,40.587595,0,0,,
80.978077,0.00395,3.1822,0.012612,40.416505,40.584598,0,0,,
81.979329,-0.000582,3.1815,-0.001801,40.403881,40.58289,0,0,,
82.978209,0.002447,3.1821,0.007824,40.40885,40.583493,0,0,,
83.980638,0.002115,3.1824,0.006791,40.394056,40.582163,0,0,,
84.980826,0.005616,3.182,0.017936,40.405261,40.594821,0,0,,
85.982125,0.00419,3.1823,0.013383,40.413141,40.573231,0,0,,
86.978566,0.007969,3.1821,0.02544,40.413794,40.572428,0,0,,
87.979266,0.002935,3.1827,0.009384,40.406903,40.573179,0,0,,
88.978106,0.006782,3.1812,0.021624,40.411911,40.579641,0,0,,
89.976991,0.006285,3.1827,0.02005,40.421071,40.582615,0,0,,
90.981843,0.005632,3.1819,0.017958,40.41841,40.562855,0,0,,
91.979321,0.001646,3.1827,0.005251,40.402939,40.567396,0,0,,
92.978377,0.000128,3.1815,0.000418,40.414519,40.592436,0,0,,
93.978473,0.000261,3.1818,0.000828,40.412086,40.575087,0,0,,
94.979258,0.00112,3.1812,0.003581,40.416139,40.595146,0,0,,
95.977192,-0.000041,3.1826,-0.000125,40.406328,40.565691,0,0,,
96.983303,0.0051,3.1828,0.016268,40.410983,40.571801,0,0,,
97.979913,0.003184,3.1829,0.010137,40.403317,40.58269,0,0,,
98.978894,0.00343,3.1829,0.01096,40.397231,40.578425,0,0,,
99.979033,0.004586,3.1821,0.014635,40.408625,40.581449,0,0,,
100.978313,0.003277,3.1832,0.010461,40.394734,40.57229,0,0,,
101.978941,0.009489,3.1829,0.030223,40.414547,40.570998,0,0,,
102.979259,0.00853,3.1834,0.027189,40.413944,40.565666,0,0,,
103.977987,0.006527,3.1828,0.020839,40.411247,40.56879,0,0,,
104.981672,0.002057,3.1829,0.006613,40.4023,40.574761,0,0,,
105.978545,0.011583,3.1832,0.036911,40.408536,40.576267,0,0,,
106.987738,0.001018,3.1823,0.0033,40.415938,40.581485,0,0,,
107.986004,0.052463,3.1842,0.16558,40.406266,40.60092,0,0,,
108.980952,0.001978,3.1825,0.006367,40.403381,40.575478,0,0,,
109.980307,-0.00233,3.1833,-0.007345,40.402062,40.587256,0,0,,
110.978879,-0.001506,3.1834,-0.004774,40.420043,40.58377,0,0,,
111.978958,-0.000298,3.1833,-0.000907,40.399678,40.584509,0,0,,
112.977959,-0.002189,3.1846,-0.006922,40.4122,40.576655,0,0,,
113.979318,-0.0000042,3.1827,-0.0000139,40.416091,40.594007,0,0,,
114.978312,0.000701,3.1835,0.002238,40.419052,40.592966,0,0,,
115.977838,-0.000488,3.1843,-0.001548,40.425651,40.598837,0,0,,
117.978018,0.000751,3.1828,0.002399,40.414547,40.591372,0,0,,
118.978742,0.001643,3.1834,0.00522,40.411861,40.595235,0,0,,
119.977138,0.003135,3.1831,0.009981,40.394295,40.600228,0,0,,
120.978954,0.006602,3.1836,0.021062,40.415363,40.607832,0,0,,
121.978591,-0.002863,3.1837,-0.009074,40.41451,40.588061,0,0,,
122.981056,-0.000522,3.1834,-0.001645,40.418085,40.61019,0,0,,
123.982216,0.009157,3.1839,0.029194,40.401234,40.59043,0,0,,
124.978268,0.000629,3.1834,0.00206,40.415438,40.59481,0,0,,
125.979229,0.009275,3.1841,0.029615,40.422515,40.598248,0,0,,
127.980072,0.006101,3.1845,0.0195,40.410419,40.601433,0,0,,
128.980038,0.00127,3.1831,0.004054,40.403294,40.579393,0,0,,
129.979691,0.004547,3.1834,0.014517,40.414308,40.583493,0,0,,
130.979877,0.000802,3.1835,0.002556,40.418536,40.600817,0,0,,
131.98097,0.002181,3.1831,0.006953,40.407558,40.591297,0,0,,
132.981985,0.001251,3.1841,0.004004,40.418022,40.603578,0,0,,
135.978021,0.000894,3.1835,0.002851,40.415977,40.579705,0,0,,
136.978378,0.001866,3.183,0.005958,40.407833,40.589753,0,0,,
137.978814,0.001928,3.185,0.006161,40.417433,40.576067,0,0,,
138.978174,0.003019,3.1835,0.009655,40.399428,40.580257,0,0,,
139.979168,0.008544,3.1834,0.027235,40.404447,40.575453,0,0,,
140.981285,-0.002161,3.1841,-0.006842,40.407622,40.578991,0,0,,
141.98729,0.002575,3.1834,0.0082,40.418324,40.579505,0,0,,
142.983483,0.000993,3.1833,0.003149,40.419366,40.582365,0,0,,
143.982317,0.005289,3.1832,0.016836,40.403783,40.5988,0,0,,
144.978498,-0.00092,3.1842,-0.002894,40.418285,40.585287,0,0,,
145.981976,0.003259,3.1843,0.010405,40.418574,40.591761,0,0,,
146.97957,-0.001671,3.1846,-0.005295,40.401761,40.572767,0,0,,
147.978729,0.001422,3.1838,0.004555,40.425954,40.598775,0,0,,
148.979725,-0.003039,3.1848,-0.009625,40.407822,40.597745,0,0,,
149.97876,0.000701,3.1845,0.002255,40.406542,40.589553,0,0,,
150.979391,-0.000485,3.185,-0.001538,40.403431,40.593355,0,0,,
152.978167,-0.002666,3.1849,-0.008469,40.411286,40.595024,0,0,,
153.977553,0.004674,3.1841,0.014892,40.434159,40.60225,0,0,,
154.978273,0.003148,3.1847,0.010052,40.424987,40.597809,0,0,,
155.976349,0.005256,3.1835,0.016729,40.410922,40.601572,0,0,,
156.977748,0.0000468,3.1842,0.000217,40.412213,40.601408,0,0,,
157.976677,0.004739,3.1853,0.015113,40.42018,40.590092,0,0,,
158.978261,-0.002868,3.1839,-0.009075,40.416869,40.59333,0,0,,
159.979981,-0.000255,3.1847,-0.000783,40.419666,40.603403,0,0,,
160.97841,0.001775,3.1855,0.005733,40.412978,40.595988,0,0,,
161.977039,0.003521,3.1854,0.011286,40.420944,40.597404,0,0,,
162.976233,-0.000514,3.1846,-0.001574,40.412866,40.594057,0,0,,
163.979594,0.007326,3.1841,0.023399,40.417808,40.596815,0,0,,
164.97754,0.000264,3.1853,0.000888,40.409403,40.57968,0,0,,
165.977916,0.006825,3.1846,0.02181,40.399201,40.5753,0,0,,
166.982388,0.001378,3.1847,0.004432,40.410708,40.598812,0,0,,
167.981385,0.000768,3.1855,0.002435,40.399653,40.598673,0,0,,
168.982118,0.005071,3.1847,0.016153,40.402928,40.60122,0,0,,
169.977386,-0.000295,3.1848,-0.000889,40.401084,40.593191,0,0,,
170.977892,-0.000613,3.184,-0.001952,40.402653,40.587847,0,0,,
171.977297,0.00241,3.1848,0.007665,40.41993,40.590933,0,0,,
172.977997,-0.000334,3.1846,-0.001064,40.406517,40.592074,0,0,,
173.978189,0.002899,3.1847,0.009255,40.40683,40.607668,0,0,,
175.978194,0.003212,3.185,0.010259,40.413657,40.606854,0,0,,
176.977868,0.005559,3.185,0.017716,40.422802,40.601081,0,0,,
177.97826,0.009142,3.1847,0.029147,40.417783,40.598246,0,0,,
178.977474,0.0069,3.1843,0.022038,40.431023,40.595112,0,0,,
179.976899,0.01001,3.1855,0.031926,40.410544,40.603378,0,0,,
180.978281,0.007117,3.1842,0.022674,40.401247,40.603177,0,0,,
0,6.0178,3.2737,19.701,40.428876,40.610429,0,0,,
0.93432,6.0119,3.2968,19.821,40.408036,40.612148,0,0,,
1.934421,6.0167,3.3052,19.886,40.413394,40.607682,0,0,,
2.937695,6.011,3.3113,19.904,40.408311,40.609876,0,0,,
3.938067,6.0045,3.3144,19.902,40.415913,40.622207,0,0,,
4.938654,5.9907,3.3176,19.875,40.404372,40.613214,0,0,,
5.934477,5.9972,3.3218,19.922,40.41461,40.603077,0,0,,
6.93691,5.9941,3.3234,19.921,40.414196,40.605574,0,0,,
7.934239,5.9953,3.325,19.935,40.419529,40.604358,0,0,,
8.933757,5.9999,3.328,19.967,40.402314,40.622434,0,0,,
9.936828,5.9887,3.3289,19.936,40.419077,40.606452,0,0,,
10.935514,6.0027,3.3306,19.992,40.387684,40.610717,0,0,,
194.001716,0.000151,3.2427,0.000487,40.420846,40.614042,0,0,,
194.97677,-0.000519,3.2291,-0.001654,40.416705,40.597532,0,0,,
195.977314,-0.001179,3.2243,-0.003768,40.424221,40.605774,0,0,,
196.97624,-0.003293,3.2228,-0.010582,40.405664,40.598134,0,0,,
197.981826,0.002898,3.2219,0.009423,40.416957,40.611973,0,0,,
198.978268,0.005212,3.2204,0.016849,40.414235,40.593971,0,0,,
199.980012,0.006505,3.2187,0.020984,40.415727,40.610742,0,0,,
200.981948,0.00546,3.2166,0.017617,40.415475,40.611581,0,0,,
202.976643,0.003302,3.2148,0.010672,40.421999,40.612284,0,0,,
203.987211,0.001021,3.2152,0.00332,40.402077,40.607282,0,0,,
204.984429,0.001572,3.2139,0.005106,40.417596,40.614067,0,0,,
205.982422,-0.000135,3.2126,-0.000372,40.418763,40.592313,0,0,,
206.979671,0.004157,3.2134,0.013401,40.416805,40.603453,0,0,,
207.97703,-0.000261,3.2112,-0.000831,40.414046,40.593054,0,0,,
208.977468,0.049532,3.2115,0.15897,40.434297,40.604207,0,0,,
210.976138,0.001572,3.2114,0.005089,40.416341,40.585162,0,0,,
212.978965,0.008548,3.2097,0.027476,40.427973,40.622259,0,0,,
213.979438,0.005502,3.2092,0.017696,40.414497,40.604419,0,0,,
214.978212,-0.000902,3.209,-0.002847,40.428223,40.614506,0,0,,
215.976636,0.003365,3.2076,0.010853,40.422151,40.613528,0,0,,
216.976092,0.003187,3.2073,0.010277,40.419077,40.602814,0,0,,
217.977238,0.004496,3.2078,0.014476,40.438236,40.589955,0,0,,
218.977398,-0.001657,3.2079,-0.005299,40.42466,40.595662,0,0,,
219.978154,-0.000149,3.2069,-0.000471,40.433506,40.589955,0,0,,
220.97806,-0.000744,3.2076,-0.002392,40.434372,40.60501,0,0,,
221.976888,0.001024,3.206,0.003299,40.425665,40.611947,0,0,,
223.978135,0.002158,3.207,0.006898,40.431587,40.607318,0,0,,
224.980588,0.003157,3.2076,0.010123,40.43279,40.619071,0,0,,
225.981342,0.005072,3.2064,0.016254,40.453643,40.608998,0,0,,
226.977694,0.005368,3.2065,0.017247,40.436567,40.623939,0,0,,
227.980333,0.000418,3.2054,0.001363,40.427821,40.590092,0,0,,
228.977054,0.054182,3.2059,0.17441,40.431398,40.595124,0,0,,
