"time","cell.v","cell.power","cell.heatPort.T"
0,3.258207422173839,8.463845420580981,40.05001800000002
1,3.258084921191903,8.480739717947369,40.05080795215184
2,3.257988942512991,8.493993599925913,40.05160283105738
3,3.258443963574804,8.431629395513456,40.05239330514621
4,3.258210474900341,8.463758637766512,40.05318355932775
5,3.258172518196352,8.469050731211615,40.05397393434714
6,3.258167403424513,8.469835652580164,40.05476432205114
7,3.258523708498905,8.421014927456044,40.05554686482179
8,3.258506322990665,8.423483878839221,40.05632810598451
9,3.25847053505085,8.428478775493618,40.05710944148342
10,3.258578104334479,8.413795437264572,40.05788695420347
11,3.258802815309173,8.383029044624093,40.0586601041494
12,3.258134365933278,8.474864487565515,40.059450102418
13,3.25812744498036,8.47589728633908,40.06024104967173
14,3.257683806548845,8.53685336484658,40.06103164843336
15,3.258158501906465,8.471801230887602,40.06182223257133
16,3.257882929003958,8.509699424666842,40.06261715745438
17,3.257918260052466,8.504934774998988,40.063412099559
18,3.258106503918086,8.47918655175164,40.06420353966161
19,3.257882913773286,8.509950711256401,40.06499308599143
20,3.258378778874682,8.44198494795652,40.06578414813788
21,3.258191943985633,8.467710444248846,40.06657871364223
22,3.258054217104974,8.486694151548642,40.06737327914652
23,3.258139417100778,8.475085487358653,40.06816934145081
24,3.257994552825731,8.495048047519377,40.06896547431188
25,3.258025098402226,8.490939916072085,40.06976362045521
26,3.25780240187563,8.521580317750796,40.07056185344186
27,3.25834056544928,8.447812385742012,40.07134754722199
28,3.257986024480108,8.496550599168501,40.07213374468347
29,3.258588653529481,8.413925161621648,40.07292019280061
30,3.258113499642146,8.479223329060799,40.07370630747363
31,3.258284015396455,8.455904852530358,40.07449242214665
32,3.25800920502065,8.493700836709538,40.07527907178832
33,3.258356339961805,8.44614402750061,40.07606593507359
34,3.258614499919977,8.410791148822497,40.0768527983588
35,3.258604347063557,8.412267679067606,40.07763966164407
36,3.258284957403849,8.456189591940877,40.07842652492928
37,3.258624664168082,8.409644776460075,40.0792223083609
38,3.257851487702911,8.515840062619962,40.08002464581614
39,3.257714143837274,8.53476753427505,40.08082698327138
40,3.257919951682865,8.506613034679736,40.08162478227632
41,3.257927953476222,8.505598420043022,40.082422069345
42,3.258077971502917,8.485095695808097,40.0832105927409
43,3.258226042185125,8.464858286016185,40.08399882641748
44,3.258285825979945,8.45673662644554,40.08479362181828
45,3.257858560198119,8.515452079035201,40.08558696268329
46,3.257949573046877,8.503046923598198,40.08637633278067
47,3.258548740080373,8.420898965814448,40.08716459397959
48,3.258388587087031,8.442964516658263,40.08795183442919
49,3.257708993317357,8.536304374006173,40.08873908780464
50,3.258335513820485,8.450414577917499,40.08952658961738
51,3.257927908066683,8.506434345999249,40.09032329894478
52,3.258160111136497,8.474653508887581,40.09111473947229
53,3.258785647144782,8.388874178850633,40.09189292782196
54,3.258515303782504,8.426068383377739,40.09267371984782
55,3.258687709507866,8.402484278408721,40.09345211174536
56,3.258518073325972,8.425853108671189,40.09423340778318
57,3.258456933244713,8.434328038129348,40.0950183568915
58,3.25814147348854,8.477706751053283,40.09581156957609
59,3.258116600283554,8.481203175258281,40.09660296911716
60,3.258263816052815,8.461082684144548,40.09739147233694
61,3.258490872313205,8.430001300058706,40.09817572118504
62,3.258166368692951,8.474621958841595,40.09896751823476
63,3.257922092726727,8.508225856545568,40.0997655988653
64,3.257987596852934,8.499320887275635,40.10056124795329
65,3.258767293258348,8.392388573926743,40.10135082253981
66,3.258331517122341,8.452289272696305,40.10213973580068
67,3.258412064123948,8.441316803833773,40.10292572860385
68,3.258762723521328,8.393264237495258,40.10370847709339
69,3.257995062271391,8.49871041829388,40.1044942581525
70,3.25824652607908,8.464284884354907,40.10528345020242
71,3.258024451859868,8.494843591691316,40.10607626646242
72,3.257771039915245,8.529697856281196,40.1068732102018
73,3.258223058616302,8.46775509314166,40.10766528604995
74,3.257972228977383,8.502259171017878,40.10845914002755
75,3.258141732216763,8.479082544056649,40.10925755755699
76,3.25761141491969,8.551930525895658,40.11005910404282
77,3.257810901401019,8.524645485210648,40.11085953090418
78,3.258395543166015,8.44449867369439,40.11164568569171
79,3.258733557488549,8.3981823606952,40.11242278598746
80,3.258871330635161,8.379349915182205,40.11319854500977
81,3.258184609893835,8.473695465762008,40.1139857734853
82,3.258051032512595,8.492109557189703,40.11478208956862
83,3.257585351128079,8.556085919766508,40.11557295945732
84,3.258208799555225,8.47062484551255,40.11635910962389
85,3.258512303950637,8.429051453723531,40.11714474179706
86,3.258128814752936,8.481766826064447,40.11792776877746
87,3.258082248783479,8.488239485596244,40.11870845919321
88,3.258534068879107,8.426311491079352,40.11948914960891
89,3.2585709560653,8.421330880669611,40.12027534847692
90,3.258257178247385,8.464481261459504,40.12106220230896
91,3.258685532845943,8.40576808441358,40.12184738639962
92,3.258479647492632,8.434112493503491,40.12263110806953
93,3.258520918911407,8.428530161982115,40.12341542472683
94,3.258091398240021,8.487562818704367,40.12420259645177
95,3.258250437849598,8.465819999311188,40.12498976817665
96,3.258394844583885,8.44608345874531,40.12577739669609
97,3.258229277520964,8.468889738908713,40.12656513110119
98,3.258493145035215,8.432756769534672,40.12735395072463
99,3.258666169528279,8.409088862305179,40.12814409041283
100,3.2583193686555,8.456774251624525,40.12893423010109
101,3.258550287861269,8.425162287466344,40.12972841279793
102,3.258603480527787,8.417943864707038,40.13052381586874
103,3.257960708350446,8.506243264658103,40.13131828274499
104,3.258307645403324,8.458715556322801,40.13210268426224
105,3.258775939702725,8.394517231915492,40.13288093748821
106,3.258616037911469,8.4165507172058,40.13365916910027
107,3.258622188308139,8.415788939633952,40.13444005162364
108,3.258500307531552,8.432601831018996,40.1352240325777
109,3.258259267822802,8.46576763334974,40.13600929456993
110,3.258076440761119,8.490940405877422,40.1367961328047
111,3.258358707439067,8.452285682080712,40.13758429745599
112,3.258311341537994,8.458869458337597,40.13837323600711
113,3.25817932834921,8.477069908860976,40.13916322810564
114,3.258382455449252,8.449275082512747,40.13995252430897
115,3.25814490989369,8.481959022106615,40.14074010067333
116,3.258412356666427,8.445336705271895,40.14152683873164
117,3.258400059048985,8.447107262337042,40.14231092606821
118,3.258302872193537,8.460528708589514,40.14309489760404
119,3.258609590447624,8.418511686718849,40.14387533037666
120,3.258222565477913,8.471714645624546,40.14464835450633
121,3.258749416782893,8.399480919620236,40.14542137863606
122,3.258742722030132,8.400481941281557,40.14619177487731
123,3.258987615858388,8.366941654541302,40.14696102480775
124,3.258553727399927,8.426590353239177,40.14774063374273
125,3.258542541424498,8.42820835055563,40.14852244140155
126,3.25859592745666,8.420962798459694,40.14930540809934
127,3.258388284885429,8.449546916092624,40.15009476134531
128,3.258071297554683,8.493132984484383,40.15089095538025
129,3.258110294118606,8.487864769394545,40.1516841874768
130,3.258178592104296,8.478575403468152,40.1524790390668
131,3.25794180471309,8.511151658100315,40.15327813954661
132,3.257644783254315,8.551987096818388,40.15408624992114
133,3.258072343012815,8.493406317091592,40.15487842464148
134,3.258170380813961,8.480035624631183,40.15566735016245
135,3.258632511989926,8.416689862881929,40.15645816844926
136,3.258362447735815,8.453842291802129,40.15725135510496
137,3.257956116299998,8.509686984801277,40.15804286602162
138,3.258369200190877,8.453081524029729,40.15883241128898
139,3.258075770199911,8.493434114105991,40.15962394125864
140,3.257916294580995,8.515400212402614,40.16041840679094
141,3.258189767821396,8.477956779985297,40.16121485567396
142,3.257881558733672,8.520333095617646,40.16201504427403
143,3.257881193912579,8.520466431281061,40.1628111080903
144,3.258462737973781,8.440742248735518,40.16359706026287
145,3.25810622755595,8.489753427519629,40.16438396288231
146,3.258380797673557,8.452154575298749,40.16517175039155
147,3.258481070184897,8.438474459552367,40.16595813427563
148,3.257942661180811,8.51244694918946,40.16675456636386
149,3.257878494348094,8.521334846730102,40.16755576628458
150,3.257791521234658,8.533351326500762,40.16835494921202
151,3.258120795007861,8.488253493100054,40.16914908887674
152,3.258381859838273,8.452507890075324,40.16993560559172
153,3.258406025673348,8.449273867068761,40.17072184843227
154,3.258502024527253,8.436180464603314,40.17151404688298
155,3.258511658717706,8.434941282617997,40.17230864782886
156,3.257835879612506,8.527763347738199,40.17310086167782
157,3.258177207942043,8.481009642080238,40.17388749251586
158,3.258575417057921,8.426438331559277,40.1746760170206
159,3.258369947077548,8.454723775667588,40.17546627653041
160,3.257953611739542,8.511941123401005,40.17625691985273
161,3.258227626700092,8.474422314301778,40.17704769508822
162,3.258477482639584,8.440213432757149,40.17784420276524
163,3.258660322123761,8.415199042524327,40.17864090868005
164,3.257941815583358,8.513892651619644,40.1794376145948
165,3.258296359110069,8.465322600884832,40.18023132578236
